ISO3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
VEN,16499.94,496700.9958,473325.0963,917367.6523,54.14416,3.485964,7759.711633,146352.8809,47.02872637,29.46498641,na,na,5,https://www.cbd.int/doc/world/ve/ve-nr-05-es.pdf
VGB,3.314329,15.995538,80529.47601,175.605042,9.108814,0.004116,0,0,0,0,na,na,na,0
VIR,306.278747,51.815838,36030.25521,375.62477,13.79457,0.85006,20.501216,39.564814,6.693646295,76.35660355,na,na,na,0
VNM,3630.264972,24994.31244,647232.2216,329880.371,7.576781,0.560891,716.175414,13486.51236,19.72791021,53.95832509,7,na,5,https://www.cbd.int/doc/world/vn/vn-nr-05-en.pdf
VUT,47.509867,528.222229,622073.2227,12575.12729,4.200532,0.007637,0.802327,30.02523,1.688758674,5.684204176,na,na,na,0
WLF,0,0.301679,259805.4408,180.605517,0.167037,0,0,0,0,0,na,na,na,0
WSM,190.537751,238.023346,132305.5976,2893.945283,8.224874,0.144013,0,0,0,0,na,na,5,https://www.cbd.int/doc/world/ws/ws-nr-05-en.pdf
YEM,2562.368242,3519.593039,548013.9807,455938.919,0.771944,0.467573,1234.214383,2874.019964,48.16694036,81.6577352,na,na,5,https://www.cbd.int/doc/world/ye/ye-nr-05-en.pdf
ZAF,224640.2547,103323.7576,1542559.897,1224384.577,8.438832,14.56282,3232.346533,63548.24111,1.438899069,61.50399732,12.96,10,6,https://chm.cbd.int/database/record/33303CBE-1BB9-9034-35F8-283CC0A1D63F
ZMB,0,311772.6865,0,755640.3907,41.2594,0,0,117488.5099,0,37.6840291,37.8,0,6,https://chm.cbd.int/database/record/AB99C119-FDF3-C589-9CBB-B0B2C39A58C8
ZWE,0,106837.8044,0,392573.2003,27.21475,0,0,24345.91666,0,22.78773586,28,0,5,https://www.cbd.int/doc/world/zw/zw-nr-05-en.pdf
